travel_days,photo_num,person_num_qinzi,title_length,playmode1,playmode2,read_num_transformed
-0.236350849,-0.280835805,0,1.119841655,1,0,7.803026644
0.208524147,0.743624513,0,1.119841655,0,1,9.210340372
0.653399142,0.32116665,0,1.510117596,0,1,9.472704636
1.543149133,1.641347472,0,1.314979626,0,1,7.716015267
1.098274138,2.708053576,0,-0.63640008,0,1,9.472704636
1.098274138,0.32116665,0,0.339289773,0,1,7.811568489
0.208524147,-0.059045427,0,-1.026676021,1,1,7.684324068
0.208524147,-0.629363542,0,0.534427743,0,1,9.179571838
0.653399142,-0.534310523,0,0.339289773,0,1,7.754910272
0.653399142,0.437342562,0,0.729565714,0,1,9.903487553
1.098274138,0.342289543,0,-1.221813991,1,1,8.582231588
1.098274138,2.613000556,0,0.924703684,0,1,9.392661929
1.988024129,0.416219669,0,0.534427743,1,1,8.027150107
1.098274138,1.197766715,0,-0.246124139,0,1,8.171316875
1.543149133,-0.196344232,0,-0.63640008,0,1,7.364547014
1.543149133,-0.259712912,0,-0.63640008,1,1,9.798127037
-1.570975835,0.902046211,0,-1.612089932,1,1,7.730614066
1.543149133,-0.397011717,0,1.510117596,1,0,8.463792415
1.098274138,0.754185959,0,0.534427743,0,1,8.44569719
0.208524147,0.28948231,0,-0.050986168,0,1,7.887584032
1.988024129,-0.407573164,0,1.510117596,1,1,7.665753432
-0.236350849,0.437342562,0,-0.246124139,0,1,9.680344001
0.208524147,-0.661047882,0,0.339289773,0,1,10.4341158
1.098274138,-0.44981895,0,-1.026676021,1,1,8.187577396
0.653399142,-0.122414106,0,1.510117596,1,1,8.488587934
-0.681225844,-0.185782786,0,0.144151802,0,1,8.239329428
-0.236350849,0.701378726,0,1.510117596,0,1,7.438971592
0.653399142,0.014884699,0,-0.050986168,1,1,7.463363046
-1.570975835,-0.935645493,0,0.144151802,0,1,7.190676034
1.543149133,-0.618802095,0,1.314979626,0,1,7.60339934
1.098274138,-0.428696057,0,-0.246124139,1,1,7.059617628
1.543149133,-0.81946958,0,-0.441262109,1,1,7.248504072
0.208524147,-0.724416561,0,0.339289773,0,1,7.284134806
0.208524147,-0.08016832,0,-0.050986168,0,1,8.898365607
-0.236350849,-0.312520145,0,0.339289773,0,1,8.58876939
-0.681225844,-0.555433416,0,1.510117596,0,1,8.099857911
1.988024129,-0.661047882,0,0.534427743,0,1,7.507690078
0.653399142,-0.397011717,0,-0.63640008,0,1,7.203405521
1.098274138,-0.903961153,0,0.144151802,1,1,6.875232087
0.208524147,-0.935645493,0,-0.441262109,0,1,7.432483808
0.653399142,-0.650486435,0,0.144151802,1,1,7.527793988
1.988024129,0.796431746,0,-0.441262109,0,1,8.86644062
-0.236350849,-0.903961153,0,0.534427743,0,1,8.497398564
-0.236350849,-0.798346687,0,1.119841655,1,1,8.952605376
1.988024129,-0.925084046,0,-0.83153805,0,1,7.01571242
1.543149133,-0.544871969,0,0.729565714,1,1,9.852194258
0.208524147,-0.618802095,0,1.314979626,0,1,9.680344001
0.208524147,1.271696841,0,1.510117596,1,1,9.680344001
-0.236350849,0.743624513,0,0.924703684,1,1,9.210340372
-0.681225844,-0.555433416,0,0.729565714,0,1,8.248529125
0.653399142,0.437342562,0,0.534427743,1,1,9.680344001
-0.236350849,0.99709923,0,-0.441262109,0,1,8.511979624
-0.236350849,0.099376272,0,0.339289773,0,1,9.305650552
0.208524147,0.25779797,0,1.314979626,1,1,8.957896735
-0.681225844,-0.798346687,0,-0.441262109,1,0,8.342839804
0.653399142,-0.777223794,1,-0.441262109,0,1,9.546812609
-0.236350849,1.071029356,0,-0.83153805,1,1,8.746239288
-0.681225844,1.06046791,0,-0.63640008,1,1,7.889459149
1.098274138,-0.344204484,1,0.534427743,1,1,9.133999139
-0.236350849,-0.185782786,0,0.534427743,1,1,7.863266724
0.653399142,-0.597679202,0,-1.612089932,1,1,8.405591015
0.208524147,-0.48150329,0,-0.050986168,0,1,8.851520272
1.098274138,-0.154098446,0,-1.026676021,0,1,8.209580483
-0.681225844,0.152183505,0,0.729565714,0,1,9.392661929
-0.236350849,-0.88283826,0,-1.026676021,0,1,7.33171497
1.098274138,0.131060611,0,-0.050986168,0,1,8.311398278
-0.681225844,-0.270274358,0,0.729565714,0,1,8.048468744
