read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
1742.0,4000,5,60,1,0,0,0,0,0,0,15,0,1.0
2811.0,5000,4,129,1,0,0,0,0,0,0,17,0,1.0
1327.0,5000,3,51,0,0,0,0,1,0,0,14,0,1.0
2159.0,140,0,7,1,0,0,0,0,0,0,9,1,1.0
1676.0,3000,1,8,1,0,0,0,0,0,0,14,0,1.0
11000.0,6000,8,39,1,0,0,0,0,0,1,15,1,1.0
1568.0,3000,2,3,1,0,0,0,0,0,1,9,1,1.0
1113.0,2200,5,40,0,0,0,0,0,1,0,6,0,1.0
5882.0,5000,6,0,1,0,0,0,0,0,0,5,0,1.0
21000.0,4000,8,16,1,0,0,0,0,0,0,19,0,1.0
1112.0,2500,2,10,0,0,0,1,0,0,0,5,1,1.0
851.0,3000,1,10,0,0,0,0,0,1,0,9,1,1.0
922.0,4300,4,14,0,0,0,1,0,0,1,4,0,1.0
1581.0,2000,2,53,0,0,0,0,1,0,0,15,0,1.0
1743.0,3000,7,24,0,0,0,0,1,0,0,15,1,1.0
1373.0,5000,5,21,0,0,0,0,0,1,0,10,0,1.0
5271.0,1000,2,15,0,0,0,1,0,0,0,6,0,1.0
4253.0,5000,4,7,1,0,0,0,0,0,0,5,0,1.0
1119.0,5000,1,6,0,1,0,0,0,0,1,15,0,1.0
985.0,4800,1,8,0,0,0,0,1,0,0,20,0,1.0
5107.0,5500,7,154,0,0,0,1,0,0,1,15,1,1.0
624.0,2000,1,1,1,0,0,0,0,0,1,13,0,1.0
4723.0,5000,8,194,0,0,1,0,0,0,1,18,1,1.0
7721.0,3000,9,76,0,0,0,0,1,0,0,18,1,1.0
4126.0,8000,5,188,0,0,0,0,1,0,0,18,1,1.0
2448.0,5000,4,62,0,0,0,0,1,0,0,18,1,0.0
10000.0,5000,5,159,1,0,0,0,0,0,0,18,0,1.0
13000.0,3000,6,119,0,0,0,1,0,0,0,20,0,1.0
2244.0,4000,8,244,0,0,0,0,0,1,1,19,0,1.0
13000.0,6500,7,345,0,0,0,1,0,0,0,9,0,1.0
2469.0,5000,7,119,0,0,1,0,0,0,0,14,0,1.0
2174.0,3000,5,83,0,0,0,1,0,0,0,7,1,1.0
9697.0,1680,5,29,0,0,1,0,0,0,0,15,0,1.0
2333.0,2500,6,38,0,0,0,1,0,0,0,14,0,1.0
20000.0,5000,6,130,0,0,0,0,0,1,0,16,0,1.0
5336.0,6000,7,121,0,0,0,1,0,0,1,6,1,1.0
12000.0,3000,7,336,1,0,0,0,0,0,0,17,0,1.0
3063.0,5000,9,128,0,0,0,0,0,1,1,15,1,1.0
3538.0,3000,7,202,0,0,0,0,1,0,1,11,0,1.0
1579.0,10000,8,70,0,0,0,1,0,0,1,9,0,1.0
18000.0,2200,8,64,1,0,0,0,0,0,0,9,1,1.0
2277.0,4000,1,174,0,0,0,1,0,0,0,4,1,1.0
4740.0,6500,8,51,1,0,0,0,0,0,0,20,1,0.0
4655.0,6000,7,160,0,0,1,0,0,0,0,15,0,1.0
2664.0,5000,5,116,0,0,0,0,1,0,0,12,0,1.0
2134.0,5000,9,50,0,0,0,0,0,1,0,20,1,1.0
16000.0,4000,4,130,1,0,0,0,0,0,0,11,0,1.0
34000.0,2500,5,26,0,0,1,0,0,0,0,14,0,1.0
3596.0,3500,7,46,1,0,0,0,0,0,1,7,1,1.0
4859.0,4000,6,77,0,0,0,0,1,0,0,20,1,1.0
3787.0,3000,3,71,1,0,0,0,0,0,0,13,0,1.0
1701.0,1200,4,155,0,0,0,1,0,0,0,20,0,1.0
1743.0,3200,6,90,0,0,0,0,0,1,0,12,1,1.0
1327.0,500,1,0,1,0,0,0,0,0,0,13,0,1.0
2005.0,5500,8,30,0,0,0,1,0,0,1,19,0,1.0
1164.0,4000,7,48,0,0,0,1,0,0,0,11,1,1.0
1406.0,5300,8,11,1,0,0,0,0,0,0,10,1,1.0
1457.0,3800,5,20,0,0,0,1,0,0,0,14,0,1.0
7320.0,3000,5,81,1,0,0,0,0,0,0,12,0,1.0
5371.0,4000,4,59,1,0,0,0,0,0,1,14,0,1.0
3294.0,4000,3,36,0,0,0,0,1,0,0,20,0,1.0
1822.0,4000,9,26,1,0,0,0,0,0,1,15,0,1.0
1344.0,3000,6,51,1,0,0,0,0,0,0,9,0,1.0
968.0,5000,7,3,0,0,0,1,0,0,0,13,1,1.0
1690.0,4000,5,0,0,0,0,1,0,0,0,10,0,1.0
1859.0,6000,6,27,1,0,0,0,0,0,0,13,1,1.0
7090.0,4000,9,164,0,0,0,0,0,1,0,10,0,1.0
4902.0,3700,4,3,0,0,0,0,0,1,0,15,0,1.0
7728.0,3100,4,13,0,0,0,0,1,0,0,18,1,1.0
1114.0,4000,9,1,0,0,0,1,0,0,0,8,0,1.0
19000.0,4000,8,37,1,0,0,0,0,0,0,16,1,1.0
16000.0,2000,5,30,0,0,0,0,0,1,1,19,0,1.0
16000.0,3100,5,209,0,0,1,0,0,0,0,20,1,1.0
10000.0,1800,4,159,0,0,0,0,1,0,1,17,1,1.0
3822.0,1600,3,36,1,0,0,0,0,0,1,16,0,1.0
16000.0,3900,6,130,0,0,1,0,0,0,0,15,1,1.0
4974.0,1800,4,183,0,0,1,0,0,0,0,10,0,1.0
11000.0,2000,4,98,0,0,0,1,0,0,0,14,0,1.0
7769.0,2650,5,113,0,0,1,0,0,0,1,19,1,1.0
4200.0,1200,3,13,0,0,1,0,0,0,0,10,1,0.0
14000.0,2500,6,15,0,1,0,0,0,0,0,10,0,1.0
6287.0,800,4,190,0,0,0,0,1,0,1,8,1,1.0
2669.0,400,3,189,1,0,0,0,0,0,0,9,1,1.0
9265.0,2000,7,56,0,1,0,0,0,0,0,15,1,1.0
2600.0,1500,4,71,0,0,0,1,0,0,0,15,1,1.0
4472.0,3500,6,32,0,0,1,0,0,0,0,4,1,1.0
