per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
2000,4,98,0,0,0,1,0,0,0,14,1.0,0,1.0
1000,4,34,1,0,0,0,0,0,1,9,1.0,0,1.0
2500,5,36,0,1,0,0,0,0,1,14,1.0,1,1.0
2000,7,56,0,1,0,0,0,0,0,15,0.0,1,1.0
1800,4,313,0,0,0,0,1,0,1,20,0.0,1,1.0
800,3,103,0,0,0,1,0,0,0,16,0.0,0,1.0
600,2,82,1,0,0,0,0,0,1,17,0.0,0,1.0
800,3,92,0,0,0,0,1,0,1,20,0.0,1,1.0
1600,1,33,1,0,0,0,0,0,1,20,0.0,1,1.0
1000,2,36,1,0,0,0,0,0,0,23,0.0,1,1.0
1000,3,64,0,0,0,0,0,1,0,14,0.0,0,1.0
4000,7,172,0,0,0,1,0,0,0,11,0.0,0,1.0
5000,1,304,0,0,0,0,0,1,1,30,1.0,1,1.0
400,2,29,0,0,0,0,0,1,0,19,0.0,1,1.0
1130,3,48,0,0,1,0,0,0,0,10,0.0,1,1.0
1000,4,264,0,1,0,0,0,0,0,32,1.0,0,1.0
1550,3,90,0,0,0,1,0,0,0,13,1.0,1,1.0
1450,8,104,0,0,0,1,0,0,0,26,1.0,0,1.0
3000,4,114,1,0,0,0,0,0,1,15,1.0,0,1.0
3300,7,174,1,0,0,0,0,0,1,11,1.0,0,1.0
1500,1,252,0,0,1,0,0,0,1,23,0.0,0,1.0
1000,3,75,0,1,0,0,0,0,1,19,1.0,0,1.0
3000,4,162,0,0,0,0,1,0,0,12,1.0,0,1.0
4500,5,100,0,0,0,0,0,1,1,13,1.0,0,1.0
2700,6,45,0,0,0,1,0,0,1,31,1.0,0,1.0
1700,4,75,0,0,1,0,0,0,0,18,0.0,1,1.0
2500,5,24,0,0,1,0,0,0,1,10,1.0,1,1.0
6000,9,100,0,1,0,0,0,0,0,14,1.0,0,1.0
3700,8,63,1,0,0,0,0,0,0,13,0.0,0,1.0
2000,6,326,0,0,1,0,0,0,0,19,0.0,1,1.0
3000,6,98,0,0,1,0,0,0,1,10,1.0,0,1.0
3000,5,208,0,0,1,0,0,0,0,7,1.0,1,1.0
4500,6,188,0,0,1,0,0,0,1,19,1.0,1,1.0
1500,7,166,0,0,0,1,0,0,1,20,1.0,1,1.0
3250,4,198,0,0,1,0,0,0,0,17,1.0,1,1.0
2700,5,164,0,0,0,0,1,0,0,20,0.0,1,1.0
2000,7,126,0,0,0,0,1,0,1,16,1.0,1,1.0
1500,5,186,0,0,0,0,1,0,0,11,1.0,1,1.0
3500,5,140,0,1,0,0,0,0,1,14,0.0,1,1.0
800,3,23,0,0,1,0,0,0,0,26,0.0,1,1.0
3000,4,186,0,0,1,0,0,0,0,22,1.0,1,1.0
3000,1,211,0,0,0,0,0,1,0,25,1.0,1,1.0
1800,4,148,0,0,1,0,0,0,0,24,1.0,0,1.0
4800,7,100,0,0,0,0,1,0,0,25,1.0,1,1.0
1400,5,111,1,0,0,0,0,0,1,7,1.0,0,1.0
2000,9,196,1,0,0,0,0,0,1,18,0.0,0,1.0
2500,7,79,1,0,0,0,0,0,0,19,0.0,1,1.0
5000,4,9,0,0,1,0,0,0,0,17,1.0,0,1.0
1200,5,103,0,0,0,0,0,1,0,18,1.0,1,1.0
1500,4,137,1,0,0,0,0,0,0,22,0.0,1,1.0
15000,9,147,1,0,0,0,0,0,0,35,1.0,0,1.0
1200,5,107,0,0,0,1,0,0,0,17,0.0,1,1.0
4000,8,125,0,1,0,0,0,0,1,18,1.0,1,1.0
2000,3,65,0,0,1,0,0,0,0,25,1.0,0,1.0
600,2,142,1,0,0,0,0,0,1,33,1.0,0,1.0
2300,6,30,0,0,0,1,0,0,0,18,0.0,1,1.0
800,3,73,0,0,0,0,0,1,0,8,0.0,0,1.0
440,2,19,1,0,0,0,0,0,1,19,0.0,1,1.0
700,3,23,1,0,0,0,0,0,0,12,1.0,1,1.0
3400,5,372,0,0,0,1,0,0,0,23,1.0,1,1.0
150,4,23,0,0,1,0,0,0,1,5,1.0,1,1.0
2000,5,287,1,0,0,0,0,0,0,20,1.0,1,1.0
2000,3,220,0,0,0,1,0,0,0,17,0.0,1,0.0
3500,8,93,1,0,0,0,0,0,0,19,0.0,1,1.0
1500,2,195,0,0,1,0,0,0,0,20,0.0,1,1.0
320,1,88,1,0,0,0,0,0,0,9,1.0,1,0.0
3600,2,57,0,0,1,0,0,0,1,13,0.0,1,0.0
380,2,203,0,0,0,0,0,1,0,15,0.0,1,0.0
7000,1,67,1,0,0,0,0,0,1,7,0.0,0,1.0
3000,5,126,0,0,1,0,0,0,0,7,0.0,1,1.0
2000,2,215,1,0,0,0,0,0,0,9,1.0,1,1.0
2200,6,206,0,0,1,0,0,0,0,5,0.0,1,1.0
1000,4,113,0,0,1,0,0,0,0,13,0.0,1,1.0
2300,5,108,0,0,0,0,0,1,0,31,1.0,1,1.0
1000,5,245,1,0,0,0,0,0,0,18,0.0,1,1.0
3800,7,113,0,0,1,0,0,0,0,12,0.0,1,1.0
2000,3,80,1,0,0,0,0,0,0,29,0.0,0,1.0
1500,4,126,1,0,0,0,0,0,1,9,1.0,1,1.0
3000,9,65,0,0,0,0,1,0,0,9,0.0,1,1.0
1900,4,50,0,0,0,0,1,0,1,5,0.0,1,0.0
1500,3,119,1,0,0,0,0,0,0,12,1.0,0,1.0
3000,5,167,0,0,0,1,0,0,0,16,0.0,0,1.0
3000,4,99,0,0,0,0,0,1,0,5,0.0,1,0.0
1000,7,63,0,0,0,0,1,0,0,36,1.0,1,1.0
