per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
2700,4,87,0,0,0,1,0,0,0,13,0.0,1,0.0
2500,3,124,0,0,0,0,1,0,0,21,0.0,1,1.0
4500,6,186,1,0,0,0,0,0,0,9,0.0,1,0.0
2000,3,207,0,0,0,0,1,0,1,22,0.0,1,1.0
4000,6,97,0,0,0,0,1,0,0,16,0.0,0,1.0
2000,6,18,1,0,0,0,0,0,1,20,0.0,0,1.0
1200,5,132,1,0,0,0,0,0,1,3,0.0,1,1.0
1000,1,4,0,0,0,1,0,0,0,14,0.0,1,1.0
1700,4,65,0,0,0,0,0,1,0,13,1.0,1,0.0
1000,3,183,0,0,0,0,0,1,0,16,1.0,1,1.0
4000,4,127,0,0,0,0,0,1,0,24,0.0,0,1.0
2000,3,62,1,0,0,0,0,0,0,16,0.0,1,1.0
1000,5,84,1,0,0,0,0,0,1,20,0.0,1,1.0
2000,4,29,0,0,0,0,1,0,0,10,0.0,0,1.0
2300,4,62,1,0,0,0,0,0,0,15,0.0,1,1.0
1200,7,67,0,0,0,1,0,0,1,4,1.0,0,1.0
3800,5,21,0,0,0,0,0,1,0,8,0.0,1,1.0
3000,6,247,0,1,0,0,0,0,1,7,0.0,1,1.0
3000,3,215,0,0,0,0,1,0,0,20,0.0,0,1.0
2000,3,75,0,0,0,1,0,0,0,6,0.0,0,1.0
2500,3,91,0,0,0,0,0,1,0,20,0.0,1,1.0
1720,4,30,0,0,0,0,1,0,1,19,0.0,0,1.0
1500,4,28,0,1,0,0,0,0,0,12,0.0,0,1.0
1000,4,130,0,0,0,0,1,0,0,7,0.0,1,1.0
1500,4,65,1,0,0,0,0,0,0,10,0.0,1,0.0
2500,5,87,0,0,0,0,0,1,0,28,1.0,1,1.0
700,4,188,0,0,0,0,0,0,0,21,0.0,1,1.0
3000,4,128,0,0,0,1,0,0,1,7,1.0,1,1.0
4000,6,127,0,0,0,1,0,0,0,9,0.0,0,1.0
2840,4,114,0,0,0,0,0,1,0,13,0.0,0,1.0
1000,4,83,0,0,0,0,0,1,0,19,0.0,1,1.0
2500,4,154,1,0,0,0,0,0,0,6,1.0,0,1.0
3000,5,162,0,0,0,1,0,0,1,11,0.0,1,0.0
3000,6,70,0,1,0,0,0,0,0,8,0.0,1,1.0
1500,5,75,1,0,0,0,0,0,0,5,0.0,1,1.0
2500,4,103,1,0,0,0,0,0,0,23,0.0,1,1.0
1000,3,42,1,0,0,0,0,0,0,15,1.0,1,1.0
1000,3,103,0,0,0,1,0,0,0,18,1.0,1,0.0
1999,3,39,0,0,0,0,0,1,0,17,0.0,1,0.0
2000,6,151,0,0,0,0,0,1,0,11,0.0,1,1.0
2700,5,189,0,1,0,0,0,0,0,18,1.0,0,1.0
3000,3,14,0,0,0,0,1,0,0,5,0.0,0,1.0
2000,6,104,0,0,0,1,0,0,0,18,0.0,1,1.0
2300,4,169,0,0,0,0,0,1,0,8,0.0,1,0.0
500,5,79,1,0,0,0,0,0,0,10,1.0,1,1.0
5454,8,321,0,1,0,0,0,0,0,29,1.0,0,1.0
3000,3,51,0,0,0,0,0,1,0,17,1.0,0,1.0
3000,4,124,0,0,0,1,0,0,0,12,1.0,1,1.0
2582,4,175,0,0,1,0,0,0,1,11,0.0,1,0.0
3000,5,65,0,0,0,0,1,0,0,13,0.0,1,1.0
3100,4,91,0,0,0,0,0,0,0,26,1.0,0,1.0
1500,3,101,1,0,0,0,0,0,0,9,1.0,1,0.0
1600,4,100,1,0,0,0,0,0,1,6,1.0,1,0.0
2000,6,148,1,0,0,0,0,0,0,10,0.0,1,0.0
2500,4,450,1,0,0,0,0,0,0,26,1.0,1,0.0
2000,3,122,0,0,0,0,0,1,0,9,0.0,1,1.0
2000,4,170,0,0,0,0,0,1,0,13,0.0,0,1.0
2500,4,211,0,1,0,0,0,0,1,18,1.0,1,1.0
1000,3,120,1,0,0,0,0,0,0,9,0.0,1,1.0
1500,3,96,1,0,0,0,0,0,0,16,0.0,1,1.0
1900,4,154,0,0,0,0,0,1,1,8,1.0,1,1.0
2000,6,87,0,1,0,0,0,0,0,23,0.0,1,1.0
2000,5,98,1,0,0,0,0,0,0,11,1.0,1,1.0
2000,6,57,0,0,0,0,0,1,0,8,0.0,0,1.0
900,5,65,0,0,0,0,1,0,0,19,0.0,1,1.0
4200,6,83,0,0,0,0,1,0,1,13,0.0,1,1.0
3000,6,162,0,0,0,0,1,0,0,15,1.0,0,1.0
